Modelo,Tipo,TipoDeLente,Lente/0,Lente/1,Sensor,Resolucao/0,Resolucao/1,Resolucao/2,Resolucao/3,Resolucao/4,Resolucao/5,Resolucao/6
VIP E3130 Z,Bullet,Varifocal,2.7,12,1/3,1.3M (1280x960),720p (1280x720),D1 (704x480),CIF (352x240),,,
VIP S3130 VF,Bullet,Varifocal,2.7,12,1/3,1.3M (1280x960),720p (1280x720),D1 (704x480),CIF (352x240),,,
VIP S4220 IK,Dome,Fixa,3.6,,1/3,3M (2048x1520),1080P (1920x1080),SXGA (1280x1024),1.3M (1280x960),720p (1280x720),D1 (704x480),CIF (352x240)
VIP S4020 IK,Dome,Fixa,3.6,,1/3,720p (1280x720),D1 (704x480),CIF (352x240),,,,
VIP E6400,Fish-Eye,Fixa,1.18,,1/3,4M (2952x1520),3M (2048x1520),UXGA(1600x1200),1.3M (1280x960),720p (1280x720),D1 (704x480),CIF (352x240)
VIP E3250 Z,Bullet,Varifocal,2.7,12,1/2.8,1080P (1920x1080),1.3M (1280x960),720p (1280x720),D1 (704x480),CIF (352x240),,
VIP E5120 IR,Speed Dome,Varifocal,4.7,94,1/3,1.3M (1280x960),720p (1280x720),D1 (704x480),VGA (640x480),CIF (352x240),,
VIP E5120,Speed Dome,Varifocal,4.7,94,1/3,1.3M (1280x960),720p (1280x720),D1 (704x480),VGA (640x480),CIF (352x240),,
VIP E5212 I,Speed Dome,Varifocal,5.1,61.2,1/2.8,1080P (1920x1080),720p (1280x720),D1 (704x480),CIF (352x240),,,
VIP E5212,Speed Dome,Varifocal,5.1,61.2,1/2.8,1080P (1920x1080),720p (1280x720),D1 (704x480),CIF (352x240),,,
VIP S3020,Bullet,Fixa,3.6,,1/4,720p (1280x720),D1 (704x480),CIF (352x240),,,,
VIP S4020,Dome,Fixa,3.6,,1/4,720p (1280x720),D1 (704x480),CIF (352x240),,,,
VIP E4320 Z,Dome,Varifocal,2.7,12,1/3,3M (2048x1520),1080P (1920x1080),SXGA (1280x1024),1.3M (1280x960),720p (1280x720),D1 (704x480),CIF (352x240)
VIP S4000,Dome,Fixa,3.6,,1/4,720p (1280x720),D1 (704x480),CIF (352x240),,,,
VIP E4120 Z,Dome,Varifocal,2.7,12,1/3,1.3M (1280x960),720p (1280x720),D1 (704x480),CIF (352x240),,,
VIP S3230,Bullet,Fixa,3.6,,1/3,3M (2048x1520),1080P (1920x1080),SXGA (1280x1024),1.3M (1280x960),720p (1280x720),D1 (704x480),CIF (352x240)
VIP S4120 VF,Dome,Varifocal,2.7,12,1/3,1.3M (1280x960),720p (1280x720),D1 (704x480),CIF (352x240),,,
VIP S4220,Dome,Fixa,2.8,,1/3,3M (2048x1520),1080P (1920x1080),SXGA (1280x1024),1.3M (1280x960),720p (1280x720),D1 (704x480),CIF (352x240)
VIP E3330 Z,Bullet,Varifocal,2.7,12,1/3,3M (2048x1520),1080P (1920x1080),SXGA (1280x1024),1.3M (1280x960),720p (1280x720),D1 (704x480),CIF (352x240)
VIP S4200,Dome,Fixa,2.8,,1/3,1080P (1920x1080),SXGA (1280x1024),1.3M (1280x960),720p (1280x720),D1 (704x480),CIF (352x240),
VIP SD1.3MIR 18X,Speed Dome,Varifocal,4.5,81,1/3,1.3M (1280x960),720p (1280x720),D1 (704x480),CIF (352x240),,,
VIP SD1.3M 18X,Speed Dome,Varifocal,4.5,81,1/3,1.3M (1280x960),720p (1280x720),D1 (704x480),CIF (352x240),,,
VIP DM2MIRVF,Dome,Varifocal,3.0,10,1 / 3 ,1080P (1920x1080),SXGA (1280x1024),720p (1280x720),D1 (704x480),VGA (640x480),CIF (352x240),
VIP DM1M IRVF,Dome,Varifocal,3.3,12,1/4,1280x800,640x400,320x192,,,,
VIP BX2M,Box,SemLente,-,,1/3,1080P (1920x1080),SXGA (1280x1024),720p (1280x720),D1 (704x480),VGA (640x480),CIF (352x240),
VIP BX1M,Box,SemLente,-,,1/4,1280x800,640x400,320x192,,,,
VIP CB1M,Cube,Fixa,3.6,,1/4,1281x800,641x400,320x192,,,,
VIP E5220,Speed Dome,Varifocal,4.7,94,1/2.8,1080P (1920x1080),720p (1280x720),D1 (704x480),CIF (352x240),,,
VIP E4220 Z,Dome,Varifocal,3,9,1/3,1080P (1920x1080),SXGA (1280x1024),1.3M (1280x960),720p (1280x720),D1 (704x480),CIF (352x240),
VIP E4120,Dome,Varifocal,2.8,12,1/3,1.3M (1280x960),720p (1280x720),D1 (704x480),CIF (352x240),,,
VIP E3220,Bullet,Varifocal,3.3,12,1/3,1080P (1920x1080),720p (1280x720),D1 (704x480),CIF (352x240),,,
VIP E2200,Box,SemLente,-,,1/3,1080P (1920x1080),SXGA (1280x1024),1.3M (1280x960),720p (1280x720),D1 (704x480),CIF (352x240),
VIP E2100,Box,SemLente,-,,1/3,1.3M (1280x960),720p (1280x720),D1 (704x480),CIF (352x240),,,
VIP S5036,Speed Dome,Varifocal,3.4,122.4,1/4,D1 (704x480),VGA (640x480),CIF (352x240),QVGA(320x240),,,
VIP S4120,Dome,Fixa,3.6,,1/3,1.3M (1280x960),720p (1280x720),D1 (704x480),CIF (352x240),,,
VIP S4100,Dome,Fixa,2.8,,1/3,1.3M (1280x960),720p (1280x720),D1 (704x480),CIF (352x240),,,
VIP S3120,Bullet,Fixa,3.6,,1/3,1.3M (1280x960),720p (1280x720),D1 (704x480),CIF (352x240),,,
